asin,title,brand,price,rating,review_count,product_url,scraped_at
B0CH9FJY8V,Adokoo,Adokoo,21.,4.3 out of 5 stars,0,https://www.amazon.com/Adokoo-Womens-Fashion-Sneakers-Leather/dp/B0CH9FJY8V/ref=sr_1_63?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-63,2025-11-16 16:02:04
B07FBGMW49,Skechers,Skechers,54.,4.5 out of 5 stars,0,https://www.amazon.com/Skechers-Mens-Cessnock-Shoe-Black/dp/B07FBGMW49/ref=sr_1_64?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-64,2025-11-16 16:02:04
B0B69DMNV1,Cole Haan,Cole Haan,63.,4.7 out of 5 stars,0,https://www.amazon.com/Cole-Haan-Crosscourt-Traveler-Sneaker/dp/B0B69DMNV1/ref=sr_1_65?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-65,2025-11-16 16:02:04
B0756FL8R7,Skechers,Skechers,43.,4.6 out of 5 stars,0,https://www.amazon.com/Skechers-Classic-Fit-Delson-Camden-Sneaker-black/dp/B0756FL8R7/ref=sr_1_66?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-66,2025-11-16 16:02:04
B000GMH2VC,Nike,Nike,63.,4.2 out of 5 stars,0,https://www.amazon.com/Nike-Monarch-Cross-Trainer-X-Wide/dp/B000GMH2VC/ref=sr_1_67?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-67,2025-11-16 16:02:04
B0BHZSF4J4,LifeStride,LifeStride,39.,4.3 out of 5 stars,0,https://www.amazon.com/LifeStride-Womens-Incredible-Slip-Black/dp/B0BHZSF4J4/ref=sr_1_68?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-68,2025-11-16 16:02:04
B097HKBFVL,Nike,Nike,35.,4.7 out of 5 stars,0,https://www.amazon.com/Nike-Court-Legacy-Little-Style/dp/B097HKBFVL/ref=sr_1_69?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-69,2025-11-16 16:02:04
B0BG91DM39,adidas,adidas,45.,4.5 out of 5 stars,0,https://www.amazon.com/adidas-Mens-Kaptir-Sneaker-White/dp/B0BG91DM39/ref=sr_1_70?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-70,2025-11-16 16:02:04
B07CNG39T6,Lugz,Lugz,35.,4.2 out of 5 stars,0,https://www.amazon.com/Lugz-Womens-Clipper-Sneaker-White/dp/B07CNG39T6/ref=sr_1_71?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-71,2025-11-16 16:02:04
B0DSL2YR9J,Litfun,Litfun,24.,4.4 out of 5 stars,0,https://www.amazon.com/Litfun-Genuine-Footbed-Leather-Comfort/dp/B0DSL2YR9J/ref=sr_1_72?dib=eyJ2IjoiMSJ9.Q_iIrPNLTxRx3y0r8D5pt3v9nipKIJ9Hpe4uVgv_F5AQGvKFLZtj7OqQFEcBb4DXpHS8LStB4y8YPGPRCzAWeSJ-G8zrlssrFs7KNyEobPp3u3FARYONZ1QjexZxmBPwsmZM9cn3NyKstty232cIx4piPYDr87cBD9-4garRLDxFPnpdroTOf7fLl0UAkSE0w3kGcF9jSldRY55VLU7GO8MNPST8oxwf88pKYyYctYkgsvbuCVLWIkoDB6LUUpZnMd7Z-SCX_kSJsFUpJaxek8zML5mtEP-zGNxyWkm-g8M.i7F7ZH7rf6qUL9LtCodNjbSlKd5xQbkyP4mzzI4PFbQ&dib_tag=se&keywords=shoes&qid=1763308922&sr=8-72,2025-11-16 16:02:04
